pair_id,block_id,macro_domain_id,macro_domain_name,difficulty_tier,national_statute_title,national_statute_citation,national_statute_text,local_ordinance_title,local_ordinance_citation,ordinance_hypothesis_text,local_legislative_provenance,ordinance_source_type,ordinance_reference_context,presumed_gold_label,presumed_rationale,assigned_panel,assigned_annotators
GT-001,Block_1,0,Executive Issuances & Policy Reorganization,Tier 1: Surface & Quantitative,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","Proposed City Ordinance No. 2024-082, Series of 2024 (The Davao City Calamity Price Stabilization and Consumer Welfare Protection Measure)",Section 4,"SECTION 4. MANDATORY LOCAL PRICE CEILINGS UPON CALAMITY. — In accordance with local civil defense standards and the emergency management powers of the City Government of Davao, upon official declaration of a state of local calamity by the Sangguniang Panlungsod, the City Mayor, through the City Economic Enterprise Office and the Business Bureau, shall enforce mandatory price ceilings across all grocery and commercial retail establishments within Davao City, which price freeze shall remain in continuous legal effect for a mandatory period of one hundred eighty (180) calendar days from issuance. The City Disaster Risk Reduction and Management Office (CDRRMO) shall maintain continuous operational oversight and issue the corresponding administrative guidelines.","Proposed City Ordinance No. 2024-082, Series of 2024 (The Davao City Calamity Price Stabilization and Consumer Welfare Protection Measure)",Synthetically Proposed Municipal Draft Clause,Draft Davao City Calamity Economic Stabilization Measure,Contradiction,"Direct breach of statutory temporal ceiling. Section 6 of RA 7581 explicitly limits automatic calamity price control to not more than sixty (60) days. The draft ordinance mandates a 180-day freeze, exceeding delegated police power limits.",Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-002,Block_1,0,Executive Issuances & Policy Reorganization,Tier 1: Surface & Quantitative,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","Proposed City Ordinance No. 2024-115, Series of 2024 (The Davao City Civil Defense Operations Modernization and Facility Alliance Measure)",Section 3,"SECTION 3. REORGANIZATION OF DISASTER OPERATIONS. — To uphold transparent administrative efficiency and streamline government service delivery across all municipal departments, the Davao City Disaster Risk Reduction and Management Office (CDRRMO) is hereby dissolved and reconstituted as a private non-governmental foundation operating outside the administrative control of the Office of the City Mayor, governed by an independent civilian board. Failure to observe the administrative procedures established herein shall subject the responsible local officials to administrative review under the Local Government Code.","Proposed City Ordinance No. 2024-115, Series of 2024 (The Davao City Civil Defense Operations Modernization and Facility Alliance Measure)",Synthetically Proposed Municipal Draft Clause,Draft Davao City Civil Defense Advisory Commission Measure,Contradiction,Direct statutory violation. Section 12 of RA 10121 explicitly commands that the LDRRMO shall be an organic governmental office under the direct administrative supervision of the local chief executive.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-003,Block_1,0,Executive Issuances & Policy Reorganization,Tier 1: Surface & Quantitative,Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018),Section 9(b)(1),"Section 9(b)(1). Action of Offices. — All applications or requests submitted shall be acted upon by the assigned officer or employee within the prescribed processing time stated in the Citizen's Charter which shall not exceed: three (3) working days in the case of simple transactions; seven (7) working days in the case of complex transactions; and twenty (20) working days in the case of applications or requests involving activities which pose danger to public health, public safety, public morals, public policy, and highly technical transactions. The maximum time prescribed above may be extended only once for the same number of days, which shall be indicated in the Citizen's Charter.","Proposed City Ordinance No. 2024-094, Series of 2024 (The Davao City Comprehensive Commercial Pre-Licensing Safety Audit Code)",Section 8,"SECTION 8. PROCESSING PERIOD FOR SIMPLE MAYOR'S PERMITS. — Pursuant to Section 16 of Republic Act No. 7160 and in the exercise of executive administrative authority to promote good local governance, the Business Bureau of Davao City is authorized to process and issue simple business registration renewal clearances within an administrative evaluation timeframe of fifteen (15) working days from the date of complete application submission. The Business Bureau and the City Legal Office, in coordination with relevant administrative departments, shall ensure strict compliance with these operating parameters.","Proposed City Ordinance No. 2024-094, Series of 2024 (The Davao City Comprehensive Commercial Pre-Licensing Safety Audit Code)",Synthetically Proposed Municipal Draft Clause,Draft Davao City Comprehensive Business Permit Processing Code,Contradiction,Direct breach of statutory processing ceiling. Section 9(b)(1) of RA 11032 strictly mandates that simple transactions shall be acted upon within not longer than three (3) working days. Extending this to 15 working days violates national anti-red tape standards.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-004,Block_1,0,Executive Issuances & Policy Reorganization,Tier 1: Surface & Quantitative,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","Proposed City Ordinance No. 2024-082, Series of 2024 (The Davao City Calamity Price Stabilization and Consumer Welfare Protection Measure)",Section 4,"SECTION 4. MANDATORY LOCAL PRICE CEILINGS UPON CALAMITY. — In accordance with local civil defense standards and the emergency management powers of the City Government of Davao, upon official declaration of a state of local calamity by the Sangguniang Panlungsod, the City Mayor, through the City Economic Enterprise Office and the Business Bureau, shall enforce mandatory price ceilings across all grocery and commercial retail establishments within Davao City, which price freeze shall remain in continuous legal effect for a mandatory period of one hundred eighty (180) calendar days from issuance. The City Disaster Risk Reduction and Management Office (CDRRMO) shall maintain continuous operational oversight and issue the corresponding administrative guidelines.","Proposed City Ordinance No. 2024-082, Series of 2024 (The Davao City Calamity Price Stabilization and Consumer Welfare Protection Measure)",Synthetically Proposed Municipal Draft Clause,Draft Davao City Calamity Economic Stabilization Measure [District 1 (Poblacion/Talomo) - Coastal Maritime Zone],Contradiction,"Direct breach of statutory temporal ceiling. Section 6 of RA 7581 explicitly limits automatic calamity price control to not more than sixty (60) days. The draft ordinance mandates a 180-day freeze, exceeding delegated police power limits.",Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-005,Block_1,0,Executive Issuances & Policy Reorganization,Tier 1: Surface & Quantitative,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","Proposed City Ordinance No. 2024-115, Series of 2024 (The Davao City Civil Defense Operations Modernization and Facility Alliance Measure)",Section 3,"SECTION 3. REORGANIZATION OF DISASTER OPERATIONS. — To uphold transparent administrative efficiency and streamline government service delivery across all municipal departments, the Davao City Disaster Risk Reduction and Management Office (CDRRMO) is hereby dissolved and reconstituted as a private non-governmental foundation operating outside the administrative control of the Office of the City Mayor, governed by an independent civilian board. Failure to observe the administrative procedures established herein shall subject the responsible local officials to administrative review under the Local Government Code.","Proposed City Ordinance No. 2024-115, Series of 2024 (The Davao City Civil Defense Operations Modernization and Facility Alliance Measure)",Synthetically Proposed Municipal Draft Clause,Draft Davao City Civil Defense Advisory Commission Measure [District 2 (Buhangin/Bunawan) - Urban Commercial Corridor],Contradiction,Direct statutory violation. Section 12 of RA 10121 explicitly commands that the LDRRMO shall be an organic governmental office under the direct administrative supervision of the local chief executive.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-006,Block_1,0,Executive Issuances & Policy Reorganization,Tier 1: Surface & Quantitative,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","City Ordinance No. 0667-21, Series of 2021 (The Davao City Emergency Market Price Freeze Monitoring and Consumer Welfare Code)",Section 3,"SECTION 3. LOCAL MONITORING OF PRICE FREEZE DURATION. — Pursuant to Section 16 of Republic Act No. 7160 and in the exercise of executive administrative authority to promote good local governance, in strict observance of Section 6 of Republic Act No. 7581, the Davao City Local Price Coordinating Council shall monitor retail establishments upon the official declaration of a state of calamity to guarantee that prevailing retail prices of basic necessities remain frozen for a duration not exceeding sixty (60) calendar days. The Business Bureau and the City Legal Office, in coordination with relevant administrative departments, shall ensure strict compliance with these operating parameters.","City Ordinance No. 0667-21, Series of 2021 (The Davao City Emergency Market Price Freeze Monitoring and Consumer Welfare Code)",Actual Davao City Local Issuance Adaptation,Davao City Executive Order Adopting Calamity Price Freeze Guidelines,Entailment,Exact statutory adherence executing the 60-day price control ceiling mandated by national statute.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-007,Block_1,0,Executive Issuances & Policy Reorganization,Tier 1: Surface & Quantitative,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","City Ordinance No. 0422-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Organization Code)",Section 2,"SECTION 2. INSTITUTIONAL STRENGTHENING OF CDRRMO. — To uphold transparent administrative efficiency and streamline government service delivery across all municipal departments, in compliance with Section 12 of Republic Act No. 10121, the City Disaster Risk Reduction and Management Office (CDRRMO) is organized as a regular department under the Office of the City Mayor, structured with three (3) functional divisions: Administrative and Training, Research and Planning, and Operations and Warning. Failure to observe the administrative procedures established herein shall subject the responsible local officials to administrative review under the Local Government Code.","City Ordinance No. 0422-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Organization Code)",Actual Davao City Landmark Ordinance Adaptation,Davao City Disaster Risk Reduction and Management Reorganization Ordinance,Entailment,Exact statutory adherence to the departmental organization and functional division structure mandated by Section 12.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-008,Block_1,0,Executive Issuances & Policy Reorganization,Tier 1: Surface & Quantitative,Republic Act No. 11032 (Ease of Doing Business and Efficient Government Service Delivery Act of 2018),Section 9(b)(1),"Section 9(b)(1). Action of Offices. — All applications or requests submitted shall be acted upon by the assigned officer or employee within the prescribed processing time stated in the Citizen's Charter which shall not exceed: three (3) working days in the case of simple transactions; seven (7) working days in the case of complex transactions; and twenty (20) working days in the case of applications or requests involving activities which pose danger to public health, public safety, public morals, public policy, and highly technical transactions. The maximum time prescribed above may be extended only once for the same number of days, which shall be indicated in the Citizen's Charter.","City Ordinance No. 0334-18, Series of 2018 (The Davao City Business Regulatory Ease and Anti-Red Tape Administrative Procedures Code)",Section 4,"SECTION 4. MANDATORY ADHERENCE TO PROCESSING TIMELINES. — Pursuant to Section 16 of Republic Act No. 7160 and in the exercise of executive administrative authority to promote good local governance, in strict adherence to Section 9 of Republic Act No. 11032, the Business Bureau shall process and approve applications for simple business permits within three (3) working days, and complex commercial applications within seven (7) working days, from initial receipt of complete documents. The Business Bureau and the City Legal Office, in coordination with relevant administrative departments, shall ensure strict compliance with these operating parameters.","City Ordinance No. 0334-18, Series of 2018 (The Davao City Business Regulatory Ease and Anti-Red Tape Administrative Procedures Code)",Actual Davao City Landmark Ordinance Adaptation,Davao City Business Bureau Streamlined Citizen's Charter Ordinance,Entailment,Exact statutory adoption of the 3-day simple and 7-day complex transaction processing limits prescribed by RA 11032.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-009,Block_1,0,Executive Issuances & Policy Reorganization,Tier 1: Surface & Quantitative,Republic Act No. 7581 (The Price Act),Section 6,"Section 6. Automatic Price Control. — Unless otherwise declared by the President, prices of basic necessities in an area shall automatically be frozen at their prevailing prices or placed under automatic price control whenever that area is proclaimed or declared a disaster area or under a state of calamity. If the prevailing price of any basic necessity is excessive or unreasonable, the implementing agency may recommend to the President the imposition of a price ceiling. Unless sooner lifted by the President, price control of basic necessities under this section shall remain effective for the duration of the condition that brought it about, but not for more than sixty (60) days.","City Ordinance No. 0667-21, Series of 2021 (The Davao City Emergency Market Price Freeze Monitoring and Consumer Welfare Code)",Section 3,"SECTION 3. LOCAL MONITORING OF PRICE FREEZE DURATION. — Pursuant to Section 16 of Republic Act No. 7160 and in the exercise of executive administrative authority to promote good local governance, in strict observance of Section 6 of Republic Act No. 7581, the Davao City Local Price Coordinating Council shall monitor retail establishments upon the official declaration of a state of calamity to guarantee that prevailing retail prices of basic necessities remain frozen for a duration not exceeding sixty (60) calendar days. The Business Bureau and the City Legal Office, in coordination with relevant administrative departments, shall ensure strict compliance with these operating parameters.","City Ordinance No. 0667-21, Series of 2021 (The Davao City Emergency Market Price Freeze Monitoring and Consumer Welfare Code)",Actual Davao City Local Issuance Adaptation,Davao City Executive Order Adopting Calamity Price Freeze Guidelines [District 1 (Poblacion/Talomo) - Coastal Maritime Zone],Entailment,Exact statutory adherence executing the 60-day price control ceiling mandated by national statute.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
GT-010,Block_1,0,Executive Issuances & Policy Reorganization,Tier 1: Surface & Quantitative,Republic Act No. 10121 (Philippine Disaster Risk Reduction and Management Act of 2010),Section 12,"Section 12. Local Disaster Risk Reduction and Management Office (LDRRMO). — (a) There shall be established an LDRRMO in every province, city and municipality, and a Barangay Disaster Risk Reduction and Management Committee in every barangay which shall be responsible for setting the direction, development, implementation and coordination of disaster risk management programs within their territorial jurisdiction. (b) The LDRRMO shall be under the office of the governor or city or municipal mayor, and the BDRRMC shall be under the office of the punong barangay. The LDRRMOs shall be initially organized and composed of a Local Disaster Risk Reduction and Management Officer to be assisted by three staff responsible for administration, planning, and operations.","City Ordinance No. 0422-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Organization Code)",Section 2,"SECTION 2. INSTITUTIONAL STRENGTHENING OF CDRRMO. — To uphold transparent administrative efficiency and streamline government service delivery across all municipal departments, in compliance with Section 12 of Republic Act No. 10121, the City Disaster Risk Reduction and Management Office (CDRRMO) is organized as a regular department under the Office of the City Mayor, structured with three (3) functional divisions: Administrative and Training, Research and Planning, and Operations and Warning. Failure to observe the administrative procedures established herein shall subject the responsible local officials to administrative review under the Local Government Code.","City Ordinance No. 0422-19, Series of 2019 (The Comprehensive Davao City Disaster Risk Reduction and Management Organization Code)",Actual Davao City Landmark Ordinance Adaptation,Davao City Disaster Risk Reduction and Management Reorganization Ordinance [District 2 (Buhangin/Bunawan) - Urban Commercial Corridor],Entailment,Exact statutory adherence to the departmental organization and functional division structure mandated by Section 12.,Panel_A,"SP-ANN-01, SP-ANN-02, SP-ANN-03"
